Date,lag1,lag2,lag3,lag4,lag5,RSI,StdDev,Momentum,macd,atr,sar,candelstatus
2016.05.20,-0.00132,-0.00967,-0.00074,0.00074,-0.0066,37.4013908,0.00738564,97.44765252,0.00217426,0.00709643,1.15568041,1
2016.05.23,0.00155,-0.00132,-0.00967,-0.00074,0.00074,38.13548824,0.00787421,97.59748515,0.00146975,0.00663143,1.15341598,1
2016.05.24,0.0011,0.00155,-0.00132,-0.00967,-0.00074,39.64719271,0.00784537,98.38650274,0.00076861,0.00685571,1.15128742,0
2016.05.25,-0.00794,0.0011,0.00155,-0.00132,-0.00967,33.70018844,0.00871763,97.76646628,-0.00004226,0.00635643,1.14824043,1
2016.05.26,0.0014,-0.00794,0.0011,0.00155,-0.00132,35.60338437,0.0075254,97.99522086,-0.00087287,0.006175,1.14470039,1
2016.05.27,0.00387,0.0014,-0.00794,0.0011,0.00155,40.48060609,0.00617142,98.45283749,-0.00161828,0.00649714,1.14151435,0
2016.05.30,-0.0082,0.00387,0.0014,-0.00794,0.0011,34.56527312,0.00636107,97.25956657,-0.00236777,0.006465,1.13785503,1
2016.05.31,0.00244,-0.0082,0.00387,0.0014,-0.00794,37.54294901,0.00545946,97.90075162,-0.00308363,0.00627929,1.13391892,0
2016.06.01,-0.00063,0.00244,-0.0082,0.00387,0.0014,37.11411833,0.00398321,98.40513469,-0.00368407,0.00643,1.13053387,1
2016.06.02,0.00563,-0.00063,0.00244,-0.0082,0.00387,43.85396032,0.00388356,98.83299763,-0.00412528,0.00627286,1.12762273,0
2016.06.03,-0.00372,0.00563,-0.00063,0.00244,-0.0082,40.7463595,0.00371321,98.5661625,-0.00447518,0.007675,1.10974,1
2016.06.06,0.02154,-0.00372,0.00563,-0.00063,0.00244,58.23395779,0.00738415,101.2491975,-0.00457822,0.00782071,1.1102912,0
2016.06.07,-0.00023,0.02154,-0.00372,0.00563,-0.00063,57.99143638,0.00954692,101.3453075,-0.00441833,0.00739143,1.11144795,1
2016.06.08,0.00034,-0.00023,0.02154,-0.00372,0.00563,58.21355253,0.01054285,101.3196049,-0.00406438,0.00743571,1.11255843,1
2016.06.09,0.00381,0.00034,-0.00023,0.02154,-0.00372,60.7226288,0.01160733,101.5321129,-0.00356489,0.00792643,1.11426493,0
2016.06.10,-0.00776,0.00381,0.00034,-0.00023,0.02154,53.2507196,0.01149338,101.5601436,-0.00295416,0.008075,1.11644293,0
2016.06.13,-0.00643,-0.00776,0.00381,0.00034,-0.00023,47.92692829,0.0099847,100.8418052,-0.0023429,0.00790714,1.1184467,1
2016.06.14,0.00412,-0.00643,-0.00776,0.00381,0.00034,51.23173576,0.00889979,100.8603361,-0.00169663,0.00841786,1.14149,0
2016.06.15,-0.0083,0.00412,-0.00643,-0.00776,0.00381,45.0181592,0.00804549,100.8504243,-0.00115402,0.00870714,1.141037,1
2016.06.16,0.0052,-0.0083,0.00412,-0.00643,-0.00776,49.15481644,0.00769359,101.0918854,-0.00061985,0.009235,1.14059306,0
2016.06.17,-0.00346,0.0052,-0.0083,0.00412,-0.00643,46.64035658,0.00729173,100.835512,-0.00031075,0.00943214,1.13949094,1
2016.06.20,0.00491,-0.00346,0.0052,-0.0083,0.00412,54.43363982,0.00638173,101.28,-0.00008444,0.00984357,1.1384329,0
2016.06.21,-0.00199,0.00491,-0.00346,0.0052,-0.0083,52.89133336,0.00576633,101.4421395,0.00005403,0.01004429,1.1382,0
2016.06.22,-0.00688,-0.00199,0.00491,-0.00346,0.0052,47.81440776,0.00543355,99.00222803,0.00002922,0.01022929,1.1382,1
2016.06.23,0.00535,-0.00688,-0.00199,0.00491,-0.00346,51.70535224,0.0040017,99.49879323,-0.0000066,0.00944071,1.11304,1
2016.06.24,0.00854,0.00535,-0.00688,-0.00199,0.00491,57.12852681,0.00530591,100.2157488,0.00008223,0.01264071,1.14207,0
2016.06.27,-0.02816,0.00854,0.00535,-0.00688,-0.00199,37.32049732,0.00962848,96.64053653,-0.00009782,0.01325857,1.14263,1
2016.06.28,0.00143,-0.02816,0.00854,0.00535,-0.00688,38.21522718,0.01194698,97.43322314,-0.00040015,0.01358214,1.14263,1
2016.06.29,0.00397,0.00143,-0.02816,0.00854,0.00535,40.71516546,0.01320073,98.35000222,-0.00080565,0.01337643,1.1416,1
2016.06.30,0.00599,0.00397,0.00143,-0.02816,0.00854,44.39557402,0.01327615,98.52341978,-0.00120369,0.01376071,1.1405906,0
2016.07.01,-0.00168,0.00599,0.00397,0.00143,-0.02816,43.57501448,0.01352103,99.10231471,-0.00170099,0.01394786,1.13960139,1
2016.07.04,0.00302,-0.00168,0.00599,0.00397,0.00143,45.08839587,0.01243534,98.85506693,-0.00223211,0.01360571,1.13863196,1
2016.07.05,0.00225,0.00302,-0.00168,0.00599,0.00397,46.64915334,0.01136979,99.36920322,-0.00270158,0.01372214,1.13768192,0
2016.07.06,-0.00788,0.00225,0.00302,-0.00168,0.00599,42.34006529,0.01116223,97.73712127,-0.00323486,0.01314071,1.13675088,1
2016.07.07,0.00251,-0.00788,0.00225,0.00302,-0.00168,44.10415081,0.00992928,98.12923817,-0.00386487,0.01300071,1.13583846,0
2016.07.08,-0.00379,0.00251,-0.00788,0.00225,0.00302,41.95858085,0.00556524,98.38551859,-0.00426877,0.01306786,1.1349443,0
2016.07.11,-0.00111,-0.00379,0.00251,-0.00788,0.00225,41.22930227,0.00424202,97.80181839,-0.0045153,0.01271929,1.13406801,1
2016.07.12,0.00089,-0.00111,-0.00379,0.00251,-0.00788,41.95910059,0.00346554,97.15209617,-0.00466293,0.01252786,1.13320925,1
2016.07.13,0.00034,0.00089,-0.00111,-0.00379,0.00251,42.27489993,0.00345725,100.4614406,-0.00478139,0.01218214,1.13236766,1
2016.07.14,0.0029,0.00034,0.00089,-0.00111,-0.00379,44.85966544,0.00329234,100.5914691,-0.00483513,0.00906357,1.13154291,1
2016.07.15,0.0028,0.0029,0.00034,0.00089,-0.00111,47.34583361,0.00341343,100.487214,-0.00483331,0.00905857,1.13073465,0
